Season,HomeTeam,AwayTeam,home_rest_days_all,away_rest_days_all,home_matches_last_14_all,away_matches_last_14_all,home_played_euro_last_5,away_played_euro_last_5,diff_rest_days_all,diff_matches_last_14_all,diff_played_euro_last_5
2016_2017,Bournemouth,Southampton,5.0,4.0,3,3,0,0,1.0,0,0
2016_2017,Man City,Arsenal,4.0,5.0,3,3,0,0,-1.0,0,0
2016_2017,Tottenham,Burnley,4.0,4.0,3,2,0,0,0.0,1,0
2016_2017,Everton,Liverpool,6.0,5.0,2,2,0,0,1.0,0,0
2016_2017,Arsenal,West Brom,8.0,9.0,2,2,0,0,-1.0,0,0
2016_2017,Burnley,Middlesbrough,8.0,9.0,2,2,0,0,-1.0,0,0
2016_2017,Chelsea,Bournemouth,9.0,8.0,2,2,0,0,1.0,0,0
2016_2017,Hull,Man City,9.0,8.0,2,2,0,0,1.0,0,0
2016_2017,Leicester,Everton,9.0,7.0,2,2,0,0,2.0,0,0
2016_2017,Man United,Sunderland,9.0,9.0,2,2,0,0,0.0,0,0
2016_2017,Swansea,West Ham,9.0,9.0,2,2,0,0,0.0,0,0
2016_2017,Watford,Crystal Palace,9.0,9.0,2,2,0,0,0.0,0,0
2016_2017,Liverpool,Stoke,8.0,10.0,2,2,0,0,-2.0,0,0
2016_2017,Southampton,Tottenham,10.0,10.0,2,2,0,0,0.0,0,0
2016_2017,Hull,Everton,4.0,4.0,2,2,0,0,0.0,0,0
2016_2017,Burnley,Sunderland,5.0,5.0,2,2,0,0,0.0,0,0
2016_2017,Chelsea,Stoke,5.0,4.0,2,2,0,0,1.0,0,0
2016_2017,Leicester,West Ham,5.0,5.0,2,2,0,0,0.0,0,0
2016_2017,Liverpool,Man City,4.0,5.0,2,2,0,0,-1.0,0,0
2016_2017,Man United,Middlesbrough,5.0,5.0,2,2,0,0,0.0,0,0
2016_2017,Southampton,West Brom,3.0,5.0,2,2,0,0,-2.0,0,0
2016_2017,Swansea,Bournemouth,5.0,5.0,2,2,0,0,0.0,0,0
2016_2017,Arsenal,Crystal Palace,6.0,6.0,2,1,0,0,0.0,1,0
2016_2017,Watford,Tottenham,6.0,4.0,1,2,0,0,2.0,-1,0
2016_2017,Everton,Southampton,3.0,2.0,3,2,0,0,1.0,1,0
2016_2017,Man City,Burnley,2.0,2.0,2,2,0,0,0.0,0,0
2016_2017,Middlesbrough,Leicester,2.0,2.0,2,2,0,0,0.0,0,0
2016_2017,Sunderland,Liverpool,2.0,2.0,2,3,0,0,0.0,-1,0
2016_2017,West Brom,Hull,2.0,3.0,2,2,0,0,-1.0,0,0
2016_2017,West Ham,Man United,2.0,2.0,2,2,0,0,0.0,0,0
2016_2017,Bournemouth,Arsenal,3.0,2.0,2,2,0,0,1.0,0,0
2016_2017,Crystal Palace,Swansea,2.0,3.0,2,2,0,0,-1.0,0,0
2016_2017,Stoke,Watford,3.0,2.0,2,2,0,0,1.0,0,0
2016_2017,Tottenham,Chelsea,3.0,4.0,2,2,0,0,-1.0,0,0
2016_2017,Burnley,Southampton,7.0,3.0,3,4,0,0,4.0,-1,0
2016_2017,Hull,Bournemouth,4.0,7.0,3,3,0,0,-3.0,0,0
2016_2017,Leicester,Chelsea,7.0,6.0,3,3,0,0,1.0,0,0
2016_2017,Sunderland,Stoke,7.0,7.0,3,3,0,0,0.0,0,0
2016_2017,Swansea,Arsenal,7.0,7.0,3,3,0,0,0.0,0,0
2016_2017,Tottenham,West Brom,6.0,7.0,3,3,0,0,-1.0,0,0
